fid,latitude,longitude,radiance
16955426,27.0314,92.673,0
16955427,27.0314,92.6772,0
16962458,27.0272,92.6689,0
16962459,27.0272,92.673,0
16962460,27.0272,92.6772,0
16962461,27.0272,92.6814,0
16962462,27.0272,92.6855,0
16962463,27.0272,92.6897,0
16969491,27.023,92.6689,0
16969492,27.023,92.673,0
16969493,27.023,92.6772,0
16969494,27.023,92.6814,0
16969495,27.023,92.6855,0
16969496,27.023,92.6897,0
16969497,27.023,92.6939,0
16969512,27.023,92.7564,0
16969513,27.023,92.7605,0
16969514,27.023,92.7647,0
16969515,27.023,92.7689,0
16969516,27.023,92.773,0
16969517,27.023,92.7772,0
16976523,27.0189,92.6647,0
16976524,27.0189,92.6689,0
16976525,27.0189,92.673,0
16976526,27.0189,92.6772,0
16976527,27.0189,92.6814,0
16976528,27.0189,92.6855,0
16976529,27.0189,92.6897,0
16976530,27.0189,92.6939,0
16976531,27.0189,92.698,0
16976532,27.0189,92.7022,0
16976533,27.0189,92.7064,0
16976534,27.0189,92.7105,0
16976535,27.0189,92.7147,0
16976536,27.0189,92.7189,0
16976538,27.0189,92.7272,0
16976539,27.0189,92.7314,0
16976540,27.0189,92.7355,0
16976541,27.0189,92.7397,0
16976542,27.0189,92.7439,0
16976543,27.0189,92.748,0
16976544,27.0189,92.7522,0
16976545,27.0189,92.7564,0
16976546,27.0189,92.7605,0
16976547,27.0189,92.7647,0
16976548,27.0189,92.7689,0
16976549,27.0189,92.773,0
16976550,27.0189,92.7772,0
16976551,27.0189,92.7814,0
16976552,27.0189,92.7855,0
16976553,27.0189,92.7897,0
16976554,27.0189,92.7939,0
16976555,27.0189,92.798,0
16976556,27.0189,92.8022,0
16983555,27.0147,92.6605,71
16983556,27.0147,92.6647,71
16983557,27.0147,92.6689,0
16983558,27.0147,92.673,0
16983559,27.0147,92.6772,0
16983560,27.0147,92.6814,0
16983561,27.0147,92.6855,0
16983562,27.0147,92.6897,0
16983563,27.0147,92.6939,0
16983564,27.0147,92.698,0
16983565,27.0147,92.7022,0
16983566,27.0147,92.7064,0
16983567,27.0147,92.7105,0
16983568,27.0147,92.7147,0
16983569,27.0147,92.7189,0
16983570,27.0147,92.723,0
16983571,27.0147,92.7272,0
16983572,27.0147,92.7314,0
16983573,27.0147,92.7355,0
16983574,27.0147,92.7397,0
16983575,27.0147,92.7439,0
16983576,27.0147,92.748,0
16983577,27.0147,92.7522,0
16983578,27.0147,92.7564,0
16983579,27.0147,92.7605,0
16983580,27.0147,92.7647,0
16983581,27.0147,92.7689,0
16983582,27.0147,92.773,0
16983583,27.0147,92.7772,0
16983584,27.0147,92.7814,0
16983585,27.0147,92.7855,0
16983586,27.0147,92.7897,0
16983587,27.0147,92.7939,0
16983588,27.0147,92.798,0
16983589,27.0147,92.8022,0
16983590,27.0147,92.8064,0
16983591,27.0147,92.8105,0
16990588,27.0105,92.6605,71
16990589,27.0105,92.6647,71
16990590,27.0105,92.6689,0
16990591,27.0105,92.673,0
16990592,27.0105,92.6772,0
16990593,27.0105,92.6814,0
16990594,27.0105,92.6855,0
16990595,27.0105,92.6897,0
16990596,27.0105,92.6939,0
16990597,27.0105,92.698,0
16990598,27.0105,92.7022,0
16990599,27.0105,92.7064,0
16990600,27.0105,92.7105,0
16990601,27.0105,92.7147,0
16990602,27.0105,92.7189,0
16990603,27.0105,92.723,0
16990604,27.0105,92.7272,0
16990605,27.0105,92.7314,0
16990606,27.0105,92.7355,0
16990607,27.0105,92.7397,0
16990608,27.0105,92.7439,0
16990609,27.0105,92.748,0
16990610,27.0105,92.7522,0
16990611,27.0105,92.7564,0
16990612,27.0105,92.7605,0
16990613,27.0105,92.7647,0
16990614,27.0105,92.7689,0
16990615,27.0105,92.773,0
16990616,27.0105,92.7772,0
16990617,27.0105,92.7814,0
16990618,27.0105,92.7855,0
16990619,27.0105,92.7897,0
16990620,27.0105,92.7939,0
16990621,27.0105,92.798,0
16990622,27.0105,92.8022,0
16990623,27.0105,92.8064,0
16990624,27.0105,92.8105,0
16990625,27.0105,92.8147,0
16990626,27.0105,92.8189,0
16997620,27.0064,92.6564,71
16997621,27.0064,92.6605,71
16997622,27.0064,92.6647,71
16997623,27.0064,92.6689,71
16997624,27.0064,92.673,71
16997625,27.0064,92.6772,71
16997626,27.0064,92.6814,0
16997627,27.0064,92.6855,0
16997628,27.0064,92.6897,0
16997629,27.0064,92.6939,0
16997630,27.0064,92.698,0
16997631,27.0064,92.7022,0
16997632,27.0064,92.7064,0
16997633,27.0064,92.7105,0
16997634,27.0064,92.7147,0
16997635,27.0064,92.7189,0
16997636,27.0064,92.723,0
16997637,27.0064,92.7272,0
16997638,27.0064,92.7314,0
16997639,27.0064,92.7355,0
16997640,27.0064,92.7397,0
16997641,27.0064,92.7439,0
16997642,27.0064,92.748,0
16997643,27.0064,92.7522,0
16997644,27.0064,92.7564,0
16997645,27.0064,92.7605,0
16997646,27.0064,92.7647,0
16997647,27.0064,92.7689,0
16997648,27.0064,92.773,0
16997649,27.0064,92.7772,0
16997650,27.0064,92.7814,0
16997651,27.0064,92.7855,0
16997652,27.0064,92.7897,0
16997653,27.0064,92.7939,0
16997654,27.0064,92.798,0
16997655,27.0064,92.8022,0
16997656,27.0064,92.8064,0
16997657,27.0064,92.8105,0
16997658,27.0064,92.8147,0
16997659,27.0064,92.8189,0
16997660,27.0064,92.823,0
16997661,27.0064,92.8272,0
16997662,27.0064,92.8314,0
17004653,27.0022,92.6564,71
17004654,27.0022,92.6605,71
17004655,27.0022,92.6647,71
17004656,27.0022,92.6689,71
17004657,27.0022,92.673,71
17004658,27.0022,92.6772,71
17004659,27.0022,92.6814,71
17004660,27.0022,92.6855,0
17004661,27.0022,92.6897,0
17004662,27.0022,92.6939,0
17004663,27.0022,92.698,0
17004664,27.0022,92.7022,0
17004665,27.0022,92.7064,0
17004666,27.0022,92.7105,0
17004667,27.0022,92.7147,0
17004668,27.0022,92.7189,0
17004669,27.0022,92.723,0
17004670,27.0022,92.7272,0
17004671,27.0022,92.7314,0
17004672,27.0022,92.7355,0
17004673,27.0022,92.7397,0
17004674,27.0022,92.7439,0
17004675,27.0022,92.748,0
17004676,27.0022,92.7522,0
17004677,27.0022,92.7564,0
17004678,27.0022,92.7605,0
